timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2017-11-06,1.50000000,1.79900000,0.50000000,1.57100000,120615.34000000,1510012799999,192128.33554900,918,47088.92000000,76279.89318000,102276735.39579208
2017-11-07,1.57100000,1.80000000,1.53890000,1.80000000,134129.73000000,1510099199999,224771.73096900,851,77740.95000000,130637.80843100,102361863.02439556
2017-11-08,1.79010000,1.99000000,1.74790000,1.98890000,347290.26000000,1510185599999,661188.79151200,2124,187899.67000000,362665.42264400,102527543.46126838
2017-11-09,1.97810000,2.19970000,1.90000000,1.99000000,287037.20000000,1510271999999,585812.82570400,1332,148065.70000000,303358.28678900,102698364.75791303
2017-11-10,1.99000000,2.02000000,1.60190000,1.71330000,484658.90000000,1510358399999,885876.86520000,1761,169341.17000000,313532.53051300,102877851.28672743
2017-11-11,1.79000000,1.92500000,1.58000000,1.65500000,258838.37000000,1510444799999,452345.77016900,1223,80833.37000000,146303.42531700,103147066.67759029
2017-11-12,1.65670000,1.70000000,1.34000000,1.49000000,457159.72000000,1510531199999,704902.98963900,1783,134384.19000000,207464.63293200,103170895.27326603
2017-11-13,1.50000000,1.73810000,1.50000000,1.68000000,166770.73000000,1510617599999,273596.32318800,1296,89168.73000000,147077.89567600,103202299.61785242
2017-11-14,1.68010000,1.73810000,1.53210000,1.59110000,177246.45000000,1510703999999,285855.47570000,1112,54519.40000000,88973.49552800,103283801.49738690
2017-11-15,1.57210000,1.67940000,1.49000000,1.55320000,297638.34000000,1510790399999,460183.52253000,1625,49132.60000000,77668.35612700,103569275.96791029
2017-11-16,1.55330000,1.66990000,1.51100000,1.55990000,198029.66000000,1510876799999,315953.88804000,1392,92484.73000000,148772.78912300,103655936.19599012
2017-11-17,1.55990000,1.57650000,1.49000000,1.50410000,419446.58000000,1510963199999,640592.38072600,1372,91546.97000000,140599.15638700,103672305.90878939
2017-11-18,1.50410000,1.66990000,1.49200000,1.66990000,172099.86000000,1511049599999,270253.42793600,914,101676.87000000,161314.19888400,103701142.87668366
2017-11-19,1.65240000,1.69480000,1.57500000,1.60000000,179701.62000000,1511135999999,294879.46520600,969,85933.78000000,142094.32599700,103863904.10575652
2017-11-20,1.60000000,1.65220000,1.56050000,1.64000000,159737.16000000,1511222399999,257135.10370400,867,63221.73000000,102395.92117000,103990153.98589020
2017-11-21,1.62570000,1.64190000,1.54000000,1.58740000,413447.37000000,1511308799999,653820.95062500,1362,175919.81000000,278363.13962500,104148219.40243862
2017-11-22,1.57280000,1.62110000,1.55560000,1.61580000,196457.62000000,1511395199999,311505.22780100,987,80232.13000000,127675.93195400,104361862.45006358
2017-11-23,1.60000000,1.61800000,1.53880000,1.57000000,184458.49000000,1511481599999,289488.77131600,1076,59253.54000000,93386.61732500,104387882.70240129
2017-11-24,1.56440000,1.81870000,1.54000000,1.72920000,644218.58000000,1511567999999,1080205.32680300,2913,304099.24000000,510174.25716300,104404014.34700322
2017-11-25,1.71200000,1.95880000,1.68000000,1.87000000,475443.08000000,1511654399999,856432.44954900,2082,253533.97000000,460998.37747300,104415074.24702609
2017-11-26,1.85000000,1.91000000,1.76000000,1.83880000,193666.26000000,1511740799999,359756.02491800,1158,104989.64000000,196618.76948100,104413257.80104804
2017-11-27,1.83880000,1.95320000,1.74000000,1.95320000,480695.73000000,1511827199999,877871.73823100,2144,238904.30000000,439279.53082800,104423619.77267328
2017-11-28,1.94500000,1.95320000,1.80100000,1.92490000,359515.94000000,1511913599999,677548.27444400,1245,190125.05000000,360085.87572600,104605012.09752589
2017-11-29,1.92480000,2.04860000,1.55000000,1.75650000,935739.25000000,1511999999999,1734093.39853200,5050,433746.49000000,815204.12471100,104715605.57543711
2017-11-30,1.76410000,2.03800000,1.71000000,1.95000000,748118.06000000,1512086399999,1410818.44196300,3988,437620.36000000,833545.13520500,104734789.29545582
2017-12-01,1.95000000,2.13850000,1.88010000,2.05270000,321456.28000000,1512172799999,650183.35144600,2307,203762.85000000,413887.71514500,104723793.67154244
2017-12-02,2.05260000,2.11990000,1.97500000,2.07970000,241150.68000000,1512259199999,495787.76860500,1776,87909.14000000,181755.77046800,104696032.94646852
2017-12-03,2.07970000,2.40000000,2.04380000,2.26170000,346006.60000000,1512345599999,764734.63410900,3928,202747.50000000,447002.13266500,104695745.26902961
2017-12-04,2.26170000,2.58980000,2.26170000,2.55000000,384958.49000000,1512431999999,945326.37286800,4076,226810.95000000,558793.85892600,103979841.23211301
2017-12-05,2.53050000,2.75000000,2.50000000,2.61200000,428655.47000000,1512518399999,1125838.34644300,3479,224306.07000000,591009.24208700,104210212.62019863
2017-12-06,2.60000000,2.80000000,2.32720000,2.51340000,379335.63000000,1512604799999,970951.89521400,3753,175385.81000000,457892.73155100,104167211.72723252
2017-12-07,2.53930000,2.84000000,2.40010000,2.66250000,533510.45000000,1512691199999,1406348.82613900,4762,324979.04000000,867552.11380700,104107405.97807969
2017-12-08,2.64890000,2.80000000,2.20600000,2.79000000,649804.35000000,1512777599999,1643051.58698700,7144,283879.56000000,741396.96443000,104215353.89792739
2017-12-09,2.78900000,2.81000000,2.17770000,2.65000000,477826.16000000,1512863999999,1195662.19831000,5654,191521.98000000,492694.44298000,104200785.77692010
2017-12-10,2.65000000,2.66480000,2.13150000,2.46190000,562267.17000000,1512950399999,1346922.16226600,5762,223899.97000000,545211.50598800,104038602.26494781
2017-12-11,2.46160000,2.78000000,2.45050000,2.68700000,381605.55000000,1513036799999,1008639.18555200,4051,219015.46000000,581388.32997200,104103652.33513124
2017-12-12,2.68700000,2.73970000,2.45450000,2.55470000,541865.92000000,1513123199999,1418968.92843900,5319,173439.41000000,459385.72312500,104421884.85743819
2017-12-13,2.55470000,2.74000000,2.26500000,2.71900000,702146.43000000,1513209599999,1805890.31581900,7201,288431.22000000,751735.92125100,104534755.41995038
2017-12-14,2.71940000,3.15210000,2.69810000,3.15190000,998488.09000000,1513295999999,2897004.54218500,7170,643753.80000000,1879878.44753500,104560313.95343267
2017-12-15,3.15180000,4.39900000,2.99000000,4.12000000,919574.18000000,1513382399999,3307473.57878400,8392,497883.11000000,1812034.72912600,104750946.19582896
2017-12-16,4.16000000,4.72010000,3.81720000,4.63780000,775606.79000000,1513468799999,3319650.86142000,8242,374942.15000000,1619757.31887900,104864952.34987467
2017-12-17,4.63000000,6.70000000,4.59600000,5.99900000,1555662.04000000,1513555199999,8931149.05484300,18354,726257.10000000,4185398.83321800,104903637.62539507
2017-12-18,5.99900000,6.10000000,4.75000000,6.00000000,1430171.07000000,1513641599999,7898873.16033000,15041,571824.01000000,3183592.30617600,0
2017-12-19,5.98000000,6.46300000,5.27250000,5.69990000,1784870.53000000,1513727999999,10454908.07624500,18851,814485.70000000,4820580.77092300,0
2017-12-20,5.69000000,5.70000000,4.68000000,5.15020000,1397302.05000000,1513814399999,7254130.94952600,14265,489637.44000000,2570916.65803800,0
2017-12-21,5.18190000,5.68990000,4.42000000,5.15960000,996548.76000000,1513900799999,5040755.01660600,11172,474716.83000000,2395375.53388100,0
